timestamp,value,classification
2019-09-01,42,Fear
2019-09-02,42,Fear
2019-09-03,42,Fear
2019-09-04,41,Fear
2019-09-05,41,Fear
2019-09-06,41,Fear
2019-09-07,41,Fear
2019-09-08,41,Fear
2019-09-09,41,Fear
2019-09-10,40,Fear
2019-09-11,40,Fear
2019-09-12,40,Fear
2019-09-13,40,Fear
2019-09-14,40,Fear
2019-09-15,39,Fear
2019-09-16,39,Fear
2019-09-17,39,Fear
2019-09-18,39,Fear
2019-09-19,39,Fear
2019-09-20,38,Fear
2019-09-21,38,Fear
2019-09-22,38,Fear
2019-09-23,38,Fear
2019-09-24,38,Fear
2019-09-25,38,Fear
2019-09-26,37,Fear
2019-09-27,37,Fear
2019-09-28,37,Fear
2019-09-29,37,Fear
2019-09-30,37,Fear
2019-10-01,36,Fear
2019-10-02,36,Fear
2019-10-03,36,Fear
2019-10-04,36,Fear
2019-10-05,36,Fear
2019-10-06,36,Fear
2019-10-07,35,Fear
2019-10-08,35,Fear
2019-10-09,35,Fear
2019-10-10,35,Fear
2019-10-11,35,Fear
2019-10-12,34,Fear
2019-10-13,34,Fear
2019-10-14,34,Fear
2019-10-15,34,Fear
2019-10-16,34,Fear
2019-10-17,33,Fear
2019-10-18,33,Fear
2019-10-19,33,Fear
2019-10-20,33,Fear
2019-10-21,33,Fear
2019-10-22,33,Fear
2019-10-23,32,Fear
2019-10-24,32,Fear
2019-10-25,32,Fear
2019-10-26,32,Fear
2019-10-27,32,Fear
2019-10-28,31,Fear
2019-10-29,31,Fear
2019-10-30,31,Fear
2019-10-31,31,Fear
2019-11-01,31,Fear
2019-11-02,31,Fear
2019-11-03,30,Fear
2019-11-04,30,Fear
2019-11-05,30,Fear
2019-11-06,30,Fear
2019-11-07,30,Fear
2019-11-08,29,Fear
2019-11-09,29,Fear
2019-11-10,29,Fear
2019-11-11,29,Fear
2019-11-12,29,Fear
2019-11-13,28,Fear
2019-11-14,28,Fear
2019-11-15,28,Fear
2019-11-16,28,Fear
2019-11-17,28,Fear
2019-11-18,28,Fear
2019-11-19,27,Fear
2019-11-20,27,Fear
2019-11-21,27,Fear
2019-11-22,27,Fear
2019-11-23,27,Fear
2019-11-24,26,Fear
2019-11-25,26,Fear
2019-11-26,26,Fear
2019-11-27,26,Fear
2019-11-28,26,Fear
2019-11-29,26,Fear
2019-11-30,25,Extreme Fear
2019-12-01,25,Extreme Fear
2019-12-02,25,Extreme Fear
2019-12-03,25,Extreme Fear
2019-12-04,25,Extreme Fear
2019-12-05,24,Extreme Fear
2019-12-06,24,Extreme Fear
2019-12-07,24,Extreme Fear
2019-12-08,24,Extreme Fear
2019-12-09,24,Extreme Fear
2019-12-10,23,Extreme Fear
2019-12-11,23,Extreme Fear
2019-12-12,23,Extreme Fear
2019-12-13,23,Extreme Fear
2019-12-14,23,Extreme Fear
2019-12-15,23,Extreme Fear
2019-12-16,22,Extreme Fear
2019-12-17,22,Extreme Fear
2019-12-18,22,Extreme Fear
2019-12-19,23,Extreme Fear
2019-12-20,24,Extreme Fear
2019-12-21,25,Extreme Fear
2019-12-22,27,Fear
2019-12-23,28,Fear
2019-12-24,29,Fear
2019-12-25,30,Fear
2019-12-26,31,Fear
2019-12-27,32,Fear
2019-12-28,33,Fear
2019-12-29,35,Fear
2019-12-30,36,Fear
2019-12-31,37,Fear
2020-01-01,38,Fear
2020-01-02,39,Fear
2020-01-03,39,Fear
2020-01-04,40,Fear
2020-01-05,40,Fear
2020-01-06,41,Fear
2020-01-07,41,Fear
2020-01-08,42,Fear
2020-01-09,43,Fear
2020-01-10,43,Fear
2020-01-11,44,Fear
2020-01-12,44,Fear
2020-01-13,45,Fear
2020-01-14,46,Neutral
2020-01-15,46,Neutral
2020-01-16,47,Neutral
2020-01-17,47,Neutral
2020-01-18,48,Neutral
2020-01-19,48,Neutral
2020-01-20,49,Neutral
2020-01-21,50,Neutral
2020-01-22,50,Neutral
2020-01-23,51,Neutral
2020-01-24,51,Neutral
2020-01-25,52,Neutral
2020-01-26,53,Neutral
2020-01-27,53,Neutral
2020-01-28,54,Neutral
2020-01-29,54,Neutral
2020-01-30,55,Neutral
2020-01-31,55,Neutral
2020-02-01,56,Greed
2020-02-02,57,Greed
2020-02-03,57,Greed
2020-02-04,58,Greed
2020-02-05,58,Greed
2020-02-06,59,Greed
2020-02-07,60,Greed
2020-02-08,60,Greed
2020-02-09,61,Greed
2020-02-10,61,Greed
2020-02-11,62,Greed
2020-02-12,62,Greed
2020-02-13,63,Greed
2020-02-14,61,Greed
2020-02-15,59,Greed
2020-02-16,57,Greed
2020-02-17,55,Neutral
2020-02-18,53,Neutral
2020-02-19,51,Neutral
2020-02-20,49,Neutral
2020-02-21,47,Neutral
2020-02-22,45,Fear
2020-02-23,43,Fear
2020-02-24,41,Fear
2020-02-25,39,Fear
2020-02-26,37,Fear
2020-02-27,36,Fear
2020-02-28,34,Fear
2020-02-29,32,Fear
2020-03-01,30,Fear
2020-03-02,28,Fear
2020-03-03,26,Fear
2020-03-04,24,Extreme Fear
2020-03-05,22,Extreme Fear
2020-03-06,20,Extreme Fear
2020-03-07,18,Extreme Fear
2020-03-08,16,Extreme Fear
2020-03-09,14,Extreme Fear
2020-03-10,12,Extreme Fear
2020-03-11,10,Extreme Fear
2020-03-12,8,Extreme Fear
2020-03-13,10,Extreme Fear
2020-03-14,10,Extreme Fear
2020-03-15,11,Extreme Fear
2020-03-16,11,Extreme Fear
2020-03-17,11,Extreme Fear
2020-03-18,11,Extreme Fear
2020-03-19,12,Extreme Fear
2020-03-20,12,Extreme Fear
2020-03-21,13,Extreme Fear
2020-03-22,14,Extreme Fear
2020-03-23,14,Extreme Fear
2020-03-24,15,Extreme Fear
2020-03-25,16,Extreme Fear
2020-03-26,17,Extreme Fear
2020-03-27,18,Extreme Fear
2020-03-28,18,Extreme Fear
2020-03-29,19,Extreme Fear
2020-03-30,20,Extreme Fear
2020-03-31,21,Extreme Fear
2020-04-01,22,Extreme Fear
2020-04-02,22,Extreme Fear
2020-04-03,23,Extreme Fear
2020-04-04,24,Extreme Fear
2020-04-05,25,Extreme Fear
2020-04-06,26,Fear
2020-04-07,26,Fear
2020-04-08,27,Fear
2020-04-09,28,Fear
2020-04-10,29,Fear
2020-04-11,30,Fear
2020-04-12,31,Fear
2020-04-13,31,Fear
2020-04-14,32,Fear
2020-04-15,33,Fear
2020-04-16,34,Fear
2020-04-17,35,Fear
2020-04-18,35,Fear
2020-04-19,36,Fear
2020-04-20,37,Fear
2020-04-21,38,Fear
2020-04-22,39,Fear
2020-04-23,39,Fear
2020-04-24,40,Fear
2020-04-25,41,Fear
2020-04-26,42,Fear
2020-04-27,43,Fear
2020-04-28,43,Fear
2020-04-29,44,Fear
2020-04-30,45,Fear
2020-05-01,46,Neutral
2020-05-02,46,Neutral
2020-05-03,47,Neutral
2020-05-04,48,Neutral
2020-05-05,48,Neutral
2020-05-06,49,Neutral
2020-05-07,49,Neutral
2020-05-08,50,Neutral
2020-05-09,51,Neutral
2020-05-10,51,Neutral
2020-05-11,52,Neutral
2020-05-12,52,Neutral
2020-05-13,52,Neutral
2020-05-14,53,Neutral
2020-05-15,53,Neutral
2020-05-16,53,Neutral
2020-05-17,53,Neutral
2020-05-18,53,Neutral
2020-05-19,54,Neutral
2020-05-20,54,Neutral
2020-05-21,54,Neutral
2020-05-22,54,Neutral
2020-05-23,54,Neutral
2020-05-24,55,Neutral
2020-05-25,55,Neutral
2020-05-26,55,Neutral
2020-05-27,55,Neutral
2020-05-28,56,Greed
2020-05-29,56,Greed
2020-05-30,56,Greed
2020-05-31,56,Greed
2020-06-01,56,Greed
2020-06-02,57,Greed
2020-06-03,57,Greed
2020-06-04,57,Greed
2020-06-05,57,Greed
2020-06-06,57,Greed
2020-06-07,58,Greed
2020-06-08,58,Greed
2020-06-09,58,Greed
2020-06-10,58,Greed
2020-06-11,58,Greed
2020-06-12,59,Greed
2020-06-13,59,Greed
2020-06-14,59,Greed
2020-06-15,59,Greed
2020-06-16,59,Greed
2020-06-17,60,Greed
2020-06-18,60,Greed
2020-06-19,60,Greed
2020-06-20,60,Greed
2020-06-21,61,Greed
2020-06-22,61,Greed
2020-06-23,61,Greed
2020-06-24,61,Greed
2020-06-25,61,Greed
2020-06-26,62,Greed
2020-06-27,62,Greed
2020-06-28,62,Greed
2020-06-29,62,Greed
2020-06-30,62,Greed
2020-07-01,63,Greed
2020-07-02,63,Greed
2020-07-03,63,Greed
2020-07-04,63,Greed
2020-07-05,63,Greed
2020-07-06,64,Greed
2020-07-07,64,Greed
2020-07-08,64,Greed
2020-07-09,64,Greed
2020-07-10,64,Greed
2020-07-11,65,Greed
2020-07-12,65,Greed
2020-07-13,65,Greed
2020-07-14,65,Greed
2020-07-15,66,Greed
2020-07-16,66,Greed
2020-07-17,66,Greed
2020-07-18,66,Greed
2020-07-19,66,Greed
2020-07-20,67,Greed
2020-07-21,67,Greed
2020-07-22,67,Greed
2020-07-23,67,Greed
2020-07-24,67,Greed
2020-07-25,68,Greed
2020-07-26,68,Greed
2020-07-27,68,Greed
2020-07-28,68,Greed
2020-07-29,68,Greed
2020-07-30,68,Greed
2020-07-31,68,Greed
2020-08-01,68,Greed
2020-08-02,68,Greed
2020-08-03,68,Greed
2020-08-04,69,Greed
2020-08-05,69,Greed
2020-08-06,69,Greed
2020-08-07,69,Greed
2020-08-08,69,Greed
2020-08-09,69,Greed
2020-08-10,69,Greed
2020-08-11,69,Greed
2020-08-12,69,Greed
2020-08-13,69,Greed
2020-08-14,69,Greed
2020-08-15,69,Greed
2020-08-16,69,Greed
2020-08-17,69,Greed
2020-08-18,70,Greed
2020-08-19,70,Greed
