strategy,timeframe,tp,sl,leverage,trades,wins,win_rate,avg_win,avg_loss,risk_reward,ev,total_pnl
趋势+动量+成交量,4h,200,2,30,5,3,60.0,23.481181643762955,1.9999999999999982,100.0,3576.0,1993.306347938666
趋势+动量+成交量,4h,200,2,25,5,3,60.0,23.481181643762955,1.9999999999999982,100.0,2980.0,1661.0886232822218
趋势+动量+成交量,4h,200,3,25,5,3,60.0,23.481181643762955,3.0000000000000036,66.66666666666667,2970.0,1611.0886232822218
趋势+动量+成交量,4h,150,2,30,5,3,60.0,23.481181643762955,1.9999999999999982,75.0,2676.0,1993.306347938666
趋势+动量+成交量,4h,200,5,15,5,4,80.0,17.73399802766044,5.000000000000001,40.0,2385.0,989.0398816596264
趋势+动量+成交量,4h,200,2,20,5,3,60.0,23.481181643762955,1.9999999999999982,100.0,2384.0,1328.8708986257775
趋势+动量+成交量,4h,200,3,20,5,3,60.0,23.481181643762955,3.0000000000000036,66.66666666666667,2376.0,1288.8708986257775
趋势+动量+成交量,4h,150,2,25,5,3,60.0,23.481181643762955,1.9999999999999982,75.0,2230.0,1661.0886232822218
趋势+动量+成交量,4h,150,3,25,5,3,60.0,23.481181643762955,3.0000000000000036,50.0,2220.0,1611.0886232822218
EMA金叉+MACD金叉+放量,4h,200,3,25,34,15,44.11764705882353,16.328530760866755,3.0000000000000018,66.66666666666667,2163.970588235294,4698.199035325032
趋势+动量+成交量,1h,200,3,25,34,15,44.11764705882353,5.361235249708802,2.807526962540818,66.66666666666667,2163.970588235294,676.8879114339124
黄金交叉+趋势,1h,200,2,30,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,100.0,2154.230769230769,3627.4127805565176
负资金费+RSI超卖,1h,200,3,25,147,64,43.53741496598639,6.74617126258512,2.9131389519337483,66.66666666666667,2134.523809523809,4749.110694873664
黄金交叉+趋势,1h,200,3,25,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,66.66666666666667,2109.6026490066224,2719.3570106966745
EMA金叉+MACD金叉+放量,4h,200,2,30,35,12,34.285714285714285,16.16313952121666,2.0000000000000018,100.0,2017.7142857142856,4438.730227637996
负资金费+RSI超卖,1h,200,2,30,166,56,33.734939759036145,6.883851297626938,1.984429845122798,100.0,1984.3373493975905,5016.251691108022
Pin Bar+放量,1d,200,2,30,3,1,33.33333333333333,30.731419095048246,2.000000000000007,100.0,1959.9999999999998,801.9425728514469
EMA金叉+放量,4h,200,3,25,40,16,40.0,15.709055141295945,3.000000000000002,66.66666666666667,1955.0,4483.622056518377
MACD金叉+RSI回升+趋势,1h,200,3,25,132,52,39.39393939393939,5.888470169052575,2.584598582347093,66.66666666666667,1924.242424242424,2485.814055074162
趋势+动量+成交量,1h,200,2,30,34,11,32.35294117647059,5.878273847080249,2.0000000000000018,100.0,1900.5882352941176,559.830369536481
黄金交叉+趋势,4h,200,3,25,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,66.66666666666667,1889.516129032258,2541.2023975462394
EMA金叉+强趋势,1h,200,3,25,257,97,37.7431906614786,6.181418270564539,2.6206270744275546,66.66666666666667,1840.466926070039,4507.4310084087865
EMA金叉+上升趋势,1h,200,3,25,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,66.66666666666667,1817.5520833333333,2804.903855160956
黄金交叉+趋势,1h,200,2,25,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,100.0,1795.1923076923074,3022.843983797098
趋势+动量+成交量,4h,200,2,15,5,3,60.0,23.481181643762955,1.9999999999999982,100.0,1788.0,996.653173969333
趋势+动量+成交量,4h,150,5,15,5,4,80.0,17.73399802766044,5.000000000000001,30.0,1785.0,989.0398816596264
趋势+动量+成交量,4h,150,2,20,5,3,60.0,23.481181643762955,1.9999999999999982,75.0,1784.0,1328.8708986257775
趋势+动量+成交量,4h,200,3,15,5,3,60.0,23.481181643762955,3.0000000000000036,66.66666666666667,1782.0,966.653173969333
趋势+动量+成交量,4h,100,2,30,5,3,60.0,23.481181643762955,1.9999999999999982,50.0,1776.0,1993.306347938666
趋势+动量+成交量,4h,150,3,20,5,3,60.0,23.481181643762955,3.0000000000000036,50.0,1776.0,1288.8708986257775
Pin Bar+上升趋势,1h,200,3,25,409,148,36.18581907090464,5.000204500147083,2.7277738677605434,66.66666666666667,1761.4303178484108,702.032163406664
EMA金叉+放量,1h,200,3,25,180,65,36.11111111111111,5.317584940109598,2.665960874267211,66.66666666666667,1757.6388888888887,976.4380141598634
完美抄底,1h,200,3,25,61,22,36.0655737704918,7.320423221978385,2.948058269670387,66.66666666666667,1755.327868852459,1151.875959159483
EMA金叉+MACD金叉,1h,200,3,25,543,195,35.91160220994475,5.310609908767764,2.7313874705833943,66.66666666666667,1747.5138121546963,2126.1523111673137
EMA金叉+MACD金叉+放量,1h,200,3,25,168,60,35.714285714285715,5.366911820354392,2.644310190191938,66.66666666666667,1737.5,910.7302170133564
MACD金叉+RSI回升+趋势,1h,200,2,30,135,40,29.629629629629626,6.374964848708711,1.8835406964329104,100.0,1735.5555555555554,2281.866833616657
EMA金叉+MACD金叉+放量,4h,200,3,20,34,15,44.11764705882353,16.328530760866755,3.0000000000000018,66.66666666666667,1731.1764705882354,3758.559228260026
趋势+动量+成交量,1h,200,3,20,34,15,44.11764705882353,5.361235249708802,2.807526962540818,66.66666666666667,1731.1764705882354,541.5103291471299
EMA金叉+放量,4h,200,2,30,41,12,29.268292682926827,16.16313952121666,2.000000000000002,100.0,1713.6585365853657,4078.7302276379964
负资金费+RSI超卖,1h,200,3,20,147,64,43.53741496598639,6.74617126258512,2.9131389519337483,66.66666666666667,1707.6190476190475,3799.2885558989315
EMA金叉+上升趋势,1h,200,2,30,571,165,28.896672504378284,5.710988576525867,1.9346730233739458,100.0,1691.138353765324,4705.076029108388
黄金交叉+趋势,1h,200,3,20,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,66.66666666666667,1687.682119205298,2175.4856085573397
EMA金叉+MACD金叉+放量,4h,200,2,25,35,12,34.285714285714285,16.16313952121666,2.0000000000000018,100.0,1681.4285714285713,3698.941856364997
负资金费+RSI超卖,1h,200,5,15,123,70,56.91056910569105,6.148245876783068,4.5275288239592015,40.0,1675.0,2856.272755574656
EMA金叉+放量,1h,200,2,30,189,54,28.57142857142857,5.9477861926762055,1.9186475242105843,100.0,1671.4285714285713,1864.891159082587
EMA金叉+MACD金叉+放量,1h,200,2,30,175,50,28.57142857142857,5.7785025632317915,1.9121393261474304,100.0,1671.4285714285713,1497.2313717948207
EMA金叉+MACD金叉+放量,4h,200,5,15,32,18,56.25,14.047696530413608,4.681848062488525,40.0,1654.6875,2809.689970089084
负资金费+RSI超卖,1h,200,2,25,166,56,33.734939759036145,6.883851297626938,1.984429845122798,100.0,1653.6144578313254,4180.209742590018
EMA金叉+强趋势,1h,200,2,30,309,87,28.155339805825243,6.977656798491853,1.913192865655463,100.0,1646.2135922330096,5469.819758798352
Pin Bar+放量,1d,200,2,25,3,1,33.33333333333333,30.731419095048246,2.000000000000007,100.0,1633.3333333333333,668.2854773762058
Pin Bar+放量,1d,200,3,25,3,1,33.33333333333333,30.731419095048246,3.0000000000000027,66.66666666666667,1616.6666666666665,618.285477376206
EMA金叉+MACD金叉,1h,200,2,30,644,178,27.639751552795033,5.694126342100475,1.9424205182257543,100.0,1614.968944099379,3251.595822020492
EMA金叉+MACD金叉+放量,4h,150,3,25,34,15,44.11764705882353,16.328530760866755,3.0000000000000018,50.0,1612.4999999999998,4698.199035325032
趋势+动量+成交量,1h,150,3,25,34,15,44.11764705882353,5.361235249708802,2.807526962540818,50.0,1612.4999999999998,676.8879114339124
黄金交叉+趋势,4h,200,5,15,31,17,54.83870967741935,13.09216689943906,5.000000000000004,40.0,1611.290322580645,2288.5025593569603
RSI超卖+布林带下轨,1h,200,3,25,509,169,33.20235756385069,5.450910221874618,2.8612538284507467,66.66666666666667,1610.0196463654227,-1290.5618544110882
黄金交叉+趋势,1h,150,2,30,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,75.0,1606.153846153846,3627.4127805565176
Pin Bar+放量,1h,200,3,25,206,68,33.00970873786408,5.403845219653457,2.8194214684556735,66.66666666666667,1600.242718446602,-540.4671927611963
负资金费+RSI超卖,1h,150,3,25,147,64,43.53741496598639,6.74617126258512,2.9131389519337483,50.0,1590.3061224489797,4749.110694873664
趋势+动量+成交量,4h,200,5,10,5,4,80.0,17.73399802766044,5.000000000000001,40.0,1590.0,659.3599211064177
趋势+动量+成交量,4h,200,7,10,5,4,80.0,17.73399802766044,7.000000000000002,28.571428571428573,1586.0,639.3599211064177
趋势+动量+成交量,1h,200,2,25,34,11,32.35294117647059,5.878273847080249,2.0000000000000018,100.0,1583.8235294117646,466.5253079470675
Pin Bar+上升趋势,1h,200,2,30,469,127,27.078891257995735,5.586667330476428,1.9404763000076446,100.0,1580.9808102345417,1375.91569103676
黄金交叉+趋势,1h,150,3,25,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,50.0,1571.5231788079468,2719.3570106966745
EMA金叉+放量,4h,200,3,20,40,16,40.0,15.709055141295945,3.000000000000002,66.66666666666667,1564.0,3586.8976452147012
RSI超卖+布林带下轨,1h,200,2,30,594,158,26.599326599326602,5.494622744316291,1.981616238423784,100.0,1551.9191919191921,124.9714094761211
MACD金叉+RSI回升+趋势,1h,200,3,20,132,52,39.39393939393939,5.888470169052575,2.584598582347093,66.66666666666667,1539.3939393939393,1988.6512440593292
Pin Bar+RSI超卖,1h,200,3,25,243,77,31.68724279835391,6.126792272387898,2.7783918378550756,66.66666666666667,1533.1275720164608,263.74899724813974
完美抄底,4h,200,2,30,23,6,26.08695652173913,19.203028955094197,2.0000000000000013,100.0,1520.8695652173913,2436.545211916954
黄金交叉+趋势,4h,200,3,20,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,66.66666666666667,1511.6129032258066,2032.9619180369914
EMA金叉+MACD金叉+放量,4h,150,2,30,35,12,34.285714285714285,16.16313952121666,2.0000000000000018,75.0,1503.4285714285716,4438.730227637996
趋势+动量+成交量,4h,100,2,25,5,3,60.0,23.481181643762955,1.9999999999999982,50.0,1480.0,1661.0886232822218
负资金费+RSI超卖,1h,150,2,30,166,56,33.734939759036145,6.883851297626938,1.984429845122798,75.0,1478.3132530120479,5016.251691108022
EMA金叉+强趋势,1h,200,3,20,257,97,37.7431906614786,6.181418270564539,2.6206270744275546,66.66666666666667,1472.373540856031,3605.944806727029
