strategy,timeframe,tp_type,tp,sl,trail,leverage,trades,wins,win_rate,risk_reward,ev
EMA金叉+上升趋势,1w,fixed,10,1,0,5,2,0,0.0,10.0,-5.0
EMA金叉+上升趋势,1w,fixed,10,1,0,10,2,0,0.0,10.0,-10.0
EMA金叉+上升趋势,1w,fixed,10,1,0,15,2,0,0.0,10.0,-15.0
EMA金叉+上升趋势,1w,fixed,10,1,0,20,2,0,0.0,10.0,-20.0
EMA金叉+上升趋势,1w,fixed,10,1,0,25,2,0,0.0,10.0,-25.0
EMA金叉+上升趋势,1w,fixed,10,1,0,30,2,0,0.0,10.0,-30.0
EMA金叉+上升趋势,1w,fixed,10,2,0,5,2,0,0.0,5.0,-10.0
EMA金叉+上升趋势,1w,fixed,10,2,0,10,2,0,0.0,5.0,-20.0
EMA金叉+上升趋势,1w,fixed,10,2,0,15,2,0,0.0,5.0,-30.0
EMA金叉+上升趋势,1w,fixed,10,2,0,20,2,0,0.0,5.0,-40.0
EMA金叉+上升趋势,1w,fixed,10,2,0,25,2,0,0.0,5.0,-50.0
EMA金叉+上升趋势,1w,fixed,10,2,0,30,2,0,0.0,5.0,-60.0
EMA金叉+上升趋势,1w,fixed,10,3,0,5,2,0,0.0,3.3333333333333335,-15.0
EMA金叉+上升趋势,1w,fixed,10,3,0,10,2,0,0.0,3.3333333333333335,-30.0
EMA金叉+上升趋势,1w,fixed,10,3,0,15,2,0,0.0,3.3333333333333335,-45.0
EMA金叉+上升趋势,1w,fixed,10,3,0,20,2,0,0.0,3.3333333333333335,-60.0
EMA金叉+上升趋势,1w,fixed,10,3,0,25,2,0,0.0,3.3333333333333335,-75.0
EMA金叉+上升趋势,1w,fixed,10,5,0,5,2,1,50.0,2.0,12.5
EMA金叉+上升趋势,1w,fixed,10,5,0,10,2,1,50.0,2.0,25.0
EMA金叉+上升趋势,1w,fixed,10,5,0,15,2,1,50.0,2.0,37.5
EMA金叉+上升趋势,1w,fixed,15,1,0,5,2,0,0.0,15.0,-5.0
EMA金叉+上升趋势,1w,fixed,15,1,0,10,2,0,0.0,15.0,-10.0
EMA金叉+上升趋势,1w,fixed,15,1,0,15,2,0,0.0,15.0,-15.0
EMA金叉+上升趋势,1w,fixed,15,1,0,20,2,0,0.0,15.0,-20.0
EMA金叉+上升趋势,1w,fixed,15,1,0,25,2,0,0.0,15.0,-25.0
EMA金叉+上升趋势,1w,fixed,15,1,0,30,2,0,0.0,15.0,-30.0
EMA金叉+上升趋势,1w,fixed,15,2,0,5,2,0,0.0,7.5,-10.0
EMA金叉+上升趋势,1w,fixed,15,2,0,10,2,0,0.0,7.5,-20.0
EMA金叉+上升趋势,1w,fixed,15,2,0,15,2,0,0.0,7.5,-30.0
EMA金叉+上升趋势,1w,fixed,15,2,0,20,2,0,0.0,7.5,-40.0
EMA金叉+上升趋势,1w,fixed,15,2,0,25,2,0,0.0,7.5,-50.0
EMA金叉+上升趋势,1w,fixed,15,2,0,30,2,0,0.0,7.5,-60.0
EMA金叉+上升趋势,1w,fixed,15,3,0,5,2,0,0.0,5.0,-15.0
EMA金叉+上升趋势,1w,fixed,15,3,0,10,2,0,0.0,5.0,-30.0
EMA金叉+上升趋势,1w,fixed,15,3,0,15,2,0,0.0,5.0,-45.0
EMA金叉+上升趋势,1w,fixed,15,3,0,20,2,0,0.0,5.0,-60.0
EMA金叉+上升趋势,1w,fixed,15,3,0,25,2,0,0.0,5.0,-75.0
EMA金叉+上升趋势,1w,fixed,15,5,0,5,2,1,50.0,3.0,25.0
EMA金叉+上升趋势,1w,fixed,15,5,0,10,2,1,50.0,3.0,50.0
EMA金叉+上升趋势,1w,fixed,15,5,0,15,2,1,50.0,3.0,75.0
EMA金叉+上升趋势,1w,fixed,15,7,0,5,2,1,50.0,2.142857142857143,20.0
EMA金叉+上升趋势,1w,fixed,15,7,0,10,2,1,50.0,2.142857142857143,40.0
EMA金叉+上升趋势,1w,fixed,15,10,0,5,2,1,50.0,1.5,12.5
EMA金叉+上升趋势,1w,fixed,20,1,0,5,2,0,0.0,20.0,-5.0
EMA金叉+上升趋势,1w,fixed,20,1,0,10,2,0,0.0,20.0,-10.0
EMA金叉+上升趋势,1w,fixed,20,1,0,15,2,0,0.0,20.0,-15.0
EMA金叉+上升趋势,1w,fixed,20,1,0,20,2,0,0.0,20.0,-20.0
EMA金叉+上升趋势,1w,fixed,20,1,0,25,2,0,0.0,20.0,-25.0
EMA金叉+上升趋势,1w,fixed,20,1,0,30,2,0,0.0,20.0,-30.0
EMA金叉+上升趋势,1w,fixed,20,2,0,5,2,0,0.0,10.0,-10.0
EMA金叉+上升趋势,1w,fixed,20,2,0,10,2,0,0.0,10.0,-20.0
EMA金叉+上升趋势,1w,fixed,20,2,0,15,2,0,0.0,10.0,-30.0
EMA金叉+上升趋势,1w,fixed,20,2,0,20,2,0,0.0,10.0,-40.0
EMA金叉+上升趋势,1w,fixed,20,2,0,25,2,0,0.0,10.0,-50.0
EMA金叉+上升趋势,1w,fixed,20,2,0,30,2,0,0.0,10.0,-60.0
EMA金叉+上升趋势,1w,fixed,20,3,0,5,2,0,0.0,6.666666666666667,-15.0
EMA金叉+上升趋势,1w,fixed,20,3,0,10,2,0,0.0,6.666666666666667,-30.0
EMA金叉+上升趋势,1w,fixed,20,3,0,15,2,0,0.0,6.666666666666667,-45.0
EMA金叉+上升趋势,1w,fixed,20,3,0,20,2,0,0.0,6.666666666666667,-60.0
EMA金叉+上升趋势,1w,fixed,20,3,0,25,2,0,0.0,6.666666666666667,-75.0
EMA金叉+上升趋势,1w,fixed,20,5,0,5,2,1,50.0,4.0,37.5
EMA金叉+上升趋势,1w,fixed,20,5,0,10,2,1,50.0,4.0,75.0
EMA金叉+上升趋势,1w,fixed,20,5,0,15,2,1,50.0,4.0,112.5
EMA金叉+上升趋势,1w,fixed,20,7,0,5,2,1,50.0,2.857142857142857,32.5
EMA金叉+上升趋势,1w,fixed,20,7,0,10,2,1,50.0,2.857142857142857,65.0
EMA金叉+上升趋势,1w,fixed,20,10,0,5,2,1,50.0,2.0,25.0
EMA金叉+上升趋势,1w,fixed,30,1,0,5,2,0,0.0,30.0,-5.0
EMA金叉+上升趋势,1w,fixed,30,1,0,10,2,0,0.0,30.0,-10.0
EMA金叉+上升趋势,1w,fixed,30,1,0,15,2,0,0.0,30.0,-15.0
EMA金叉+上升趋势,1w,fixed,30,1,0,20,2,0,0.0,30.0,-20.0
EMA金叉+上升趋势,1w,fixed,30,1,0,25,2,0,0.0,30.0,-25.0
EMA金叉+上升趋势,1w,fixed,30,1,0,30,2,0,0.0,30.0,-30.0
EMA金叉+上升趋势,1w,fixed,30,2,0,5,2,0,0.0,15.0,-10.0
EMA金叉+上升趋势,1w,fixed,30,2,0,10,2,0,0.0,15.0,-20.0
EMA金叉+上升趋势,1w,fixed,30,2,0,15,2,0,0.0,15.0,-30.0
EMA金叉+上升趋势,1w,fixed,30,2,0,20,2,0,0.0,15.0,-40.0
EMA金叉+上升趋势,1w,fixed,30,2,0,25,2,0,0.0,15.0,-50.0
EMA金叉+上升趋势,1w,fixed,30,2,0,30,2,0,0.0,15.0,-60.0
EMA金叉+上升趋势,1w,fixed,30,3,0,5,2,0,0.0,10.0,-15.0
EMA金叉+上升趋势,1w,fixed,30,3,0,10,2,0,0.0,10.0,-30.0
EMA金叉+上升趋势,1w,fixed,30,3,0,15,2,0,0.0,10.0,-45.0
EMA金叉+上升趋势,1w,fixed,30,3,0,20,2,0,0.0,10.0,-60.0
EMA金叉+上升趋势,1w,fixed,30,3,0,25,2,0,0.0,10.0,-75.0
EMA金叉+上升趋势,1w,fixed,30,5,0,5,2,1,50.0,6.0,62.5
EMA金叉+上升趋势,1w,fixed,30,5,0,10,2,1,50.0,6.0,125.0
EMA金叉+上升趋势,1w,fixed,30,5,0,15,2,1,50.0,6.0,187.5
EMA金叉+上升趋势,1w,fixed,30,7,0,5,2,1,50.0,4.285714285714286,57.5
EMA金叉+上升趋势,1w,fixed,30,7,0,10,2,1,50.0,4.285714285714286,115.0
EMA金叉+上升趋势,1w,fixed,30,10,0,5,2,1,50.0,3.0,50.0
EMA金叉+上升趋势,1w,fixed,30,15,0,5,2,1,50.0,2.0,37.5
EMA金叉+上升趋势,1w,fixed,50,1,0,5,2,0,0.0,50.0,-5.0
EMA金叉+上升趋势,1w,fixed,50,1,0,10,2,0,0.0,50.0,-10.0
EMA金叉+上升趋势,1w,fixed,50,1,0,15,2,0,0.0,50.0,-15.0
