strategy,timeframe,tp,sl,leverage,trades,wins,win_rate,avg_win,avg_loss,risk_reward,ev,total_pnl
放量突破,1d,200,2,30,9,4,44.44444444444444,79.30920916989248,2.000000000000005,100.0,2633.333333333333,9217.105100387096
放量突破,1d,200,3,30,9,4,44.44444444444444,79.30920916989248,3.0000000000000027,66.66666666666667,2616.6666666666665,9067.105100387096
EMA50/200黄金交叉,1h,200,3,30,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,66.66666666666667,2531.523178807947,3263.2284128360097
EMA50/200黄金交叉,4h,200,3,30,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,66.66666666666667,2267.4193548387098,3049.4428770554873
放量突破,1h,200,3,30,505,192,38.01980198019802,5.250383622903806,2.79732437268442,66.66666666666667,2225.4059405940593,3975.3338084192224
放量突破,1d,200,2,25,9,4,44.44444444444444,79.30920916989248,2.000000000000005,100.0,2194.4444444444443,7680.9209169892465
趋势EMA交叉,1h,200,3,30,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,66.66666666666667,2181.0625,3365.884626193147
放量突破,1d,200,3,25,9,4,44.44444444444444,79.30920916989248,3.0000000000000027,66.66666666666667,2180.5555555555557,7555.9209169892465
EMA50/200黄金交叉,1h,200,2,30,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,100.0,2154.230769230769,3627.4127805565176
EMA7/25金叉,1h,200,3,30,571,207,36.25218914185639,5.418420147876413,2.740559193567844,66.66666666666667,2117.758318739054,3721.4827245516717
EMA50/200黄金交叉,1h,200,3,25,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,66.66666666666667,2109.6026490066224,2719.3570106966745
突破买入,1h,200,3,30,674,242,35.90504451038576,5.563037141106371,2.71763584609914,66.66666666666667,2096.6172106824924,5167.08907898739
看涨插针,1h,200,3,30,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,66.66666666666667,2049.72972972973,2006.260243471694
放量突破,1d,150,2,30,9,4,44.44444444444444,66.80920916989248,2.000000000000005,75.0,1966.6666666666665,7717.105100387096
放量突破,1d,150,3,30,9,4,44.44444444444444,66.80920916989248,3.0000000000000027,50.0,1949.9999999999998,7567.105100387096
EMA50/200黄金交叉,4h,200,3,25,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,66.66666666666667,1889.516129032258,2541.2023975462394
EMA50/200黄金交叉,1h,150,3,30,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,50.0,1885.8278145695363,3263.2284128360097
放量突破,1h,200,3,25,505,192,38.01980198019802,5.250383622903806,2.79732437268442,66.66666666666667,1854.5049504950493,3312.7781736826855
RSI超卖,1h,200,3,30,573,182,31.762652705061083,5.696117515225116,2.844551400511498,66.66666666666667,1844.34554973822,-2265.7862948707384
趋势EMA交叉,1h,200,3,25,480,179,37.291666666666664,5.200964068594269,2.7201874221658993,66.66666666666667,1817.5520833333333,2804.903855160956
EMA50/200黄金交叉,1h,200,2,25,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,100.0,1795.1923076923074,3022.843983797098
