timeframe,tp,sl,trail,leverage,total,wins,win_rate,total_pnl,avg_pnl,tp_wins,sl_losses,trail_exits,timeouts,ev
1w,50,5,5,10,41,19,46.34146341463415,24.687434548973343,0.6021325499749596,0,0,41,0,204.8780487804878
1w,75,5,5,10,41,19,46.34146341463415,24.687434548973343,0.6021325499749596,0,0,41,0,320.7317073170732
1w,100,5,5,10,41,19,46.34146341463415,24.687434548973343,0.6021325499749596,0,0,41,0,436.5853658536586
1w,50,5,10,10,38,7,18.421052631578945,-75.65759143563366,-1.990989248306149,0,17,21,0,51.315789473684205
1w,75,5,10,10,38,7,18.421052631578945,-75.65759143563366,-1.990989248306149,0,17,21,0,97.36842105263159
1w,100,5,10,10,38,7,18.421052631578945,-75.65759143563366,-1.990989248306149,0,17,21,0,143.42105263157893
1w,50,3,5,15,41,18,43.90243902439025,9.997565352024615,0.24384305736645404,0,10,31,0,304.0243902439025
1w,75,3,5,15,41,18,43.90243902439025,9.997565352024615,0.24384305736645404,0,10,31,0,468.6585365853659
1d,50,5,5,10,162,60,37.03703703703704,-58.93903958639555,-0.36382123201478733,0,0,162,0,153.7037037037037
1d,75,5,5,10,162,60,37.03703703703704,-58.93903958639555,-0.36382123201478733,0,0,162,0,246.29629629629636
1d,100,5,5,10,162,60,37.03703703703704,-58.93903958639555,-0.36382123201478733,0,0,162,0,338.8888888888889
1d,50,5,10,10,115,31,26.956521739130434,-61.69848470394637,-0.5365085626430119,0,57,58,0,98.26086956521738
1d,75,5,10,10,115,31,26.956521739130434,-61.69848470394637,-0.5365085626430119,0,57,58,0,165.65217391304347
1d,100,5,10,10,115,31,26.956521739130434,-61.69848470394637,-0.5365085626430119,0,57,58,0,233.04347826086953
1d,50,3,5,15,167,60,35.92814371257485,-16.1491728211775,-0.09670163365974552,0,50,117,0,240.62874251497004
1d,75,3,5,15,167,60,35.92814371257485,-16.1491728211775,-0.09670163365974552,0,50,117,0,375.35928143712573
4h,50,5,5,10,507,191,37.67258382642998,-16.13649016841369,-0.03182739678188105,0,1,495,11,157.19921104536488
4h,75,5,5,10,507,191,37.67258382642998,-16.13649016841369,-0.03182739678188105,0,1,495,11,251.38067061143985
4h,100,5,5,10,507,191,37.67258382642998,-16.13649016841369,-0.03182739678188105,0,1,495,11,345.5621301775148
4h,50,5,10,10,281,89,31.672597864768683,91.57191148805434,0.3258786885695884,0,140,91,50,124.19928825622775
4h,75,5,10,10,281,89,31.672597864768683,91.57191148805434,0.3258786885695884,0,140,91,50,203.38078291814946
4h,100,5,10,10,281,89,31.672597864768683,91.57191148805434,0.3258786885695884,0,140,91,50,282.56227758007117
4h,50,3,5,15,565,190,33.6283185840708,-13.421685208270038,-0.02375519505888502,0,214,340,11,222.34513274336283
4h,75,3,5,15,565,190,33.6283185840708,-13.421685208270038,-0.02375519505888502,0,214,340,11,348.4513274336283
1h,50,5,5,10,889,345,38.80764904386952,39.07398623702397,0.043952740424098954,0,1,657,231,163.44206974128232
1h,75,5,5,10,889,345,38.80764904386952,39.07398623702397,0.043952740424098954,0,1,657,231,260.46119235095614
1h,100,5,5,10,889,345,38.80764904386952,39.07398623702397,0.043952740424098954,0,1,657,231,357.4803149606299
1h,50,5,10,10,663,292,44.042232277526395,209.6076920177592,0.3161503650343276,1,247,35,380,192.2322775263952
1h,75,5,10,10,662,292,44.10876132930513,213.5554796303754,0.322591358958271,0,246,35,381,302.87009063444106
1h,100,5,10,10,662,292,44.10876132930513,213.5554796303754,0.322591358958271,0,246,35,381,413.1419939577039
1h,50,3,5,15,1030,348,33.78640776699029,-5.702106657717404,-0.005536025881279032,0,434,385,211,223.60194174757277
1h,75,3,5,15,1030,348,33.78640776699029,-5.702106657717404,-0.005536025881279032,0,434,385,211,350.3009708737864
