strategy,timeframe,tp_type,tp,sl,trail,leverage,total,tp_wins,sl_losses,trail_exits,timeouts,wins,win_rate,theory_win_rate,total_pnl,avg_pnl,ev
EMA金叉+上升趋势,1w,fixed,300,25,0,5,2,1,1,0,0,1,50.0,50.0,275.0000000000001,137.50000000000006,137.5
EMA金叉+上升趋势,1w,trailing,300,10,10,5,2,0,0,2,0,1,50.0,50.0,10.800192897812249,5.400096448906124,145.0
EMA金叉+强趋势,1w,fixed,300,25,0,5,2,1,1,0,0,1,50.0,50.0,275.0000000000001,137.50000000000006,137.5
EMA金叉+强趋势,1w,trailing,300,10,10,5,2,0,0,2,0,1,50.0,50.0,10.800192897812249,5.400096448906124,145.0
RSI超卖+恐惧,1w,fixed,300,30,0,20,8,3,5,0,0,3,37.5,87.5,749.9999999999997,93.74999999999996,93.75
RSI超卖+恐惧,1w,trailing,300,10,10,5,8,0,0,8,0,8,100.0,87.5,370.75982947707195,46.34497868463399,300.0
RSI极度超卖+极度恐惧,1w,fixed,50,10,0,5,2,0,2,0,0,0,0.0,100.0,-20.000000000000075,-10.000000000000037,-10.0
RSI极度超卖+极度恐惧,1w,trailing,300,10,10,5,2,0,0,2,0,2,100.0,100.0,11.645045364785592,5.822522682392796,300.0
RSI超卖+大跌,1w,fixed,300,40,0,10,5,2,3,0,0,2,40.0,80.0,480.00000000000006,96.00000000000001,96.0
RSI超卖+大跌,1w,trailing,300,20,25,5,6,0,0,6,0,6,100.0,83.33333333333334,243.09189562172844,40.51531593695474,300.0
恐惧+大跌,1w,fixed,300,30,0,20,17,2,15,0,0,2,11.76470588235294,58.82352941176471,149.9999999999991,8.823529411764653,8.823529411764703
恐惧+大跌,1w,trailing,300,10,10,15,18,0,0,18,0,16,88.88888888888889,61.111111111111114,1361.7635785873342,75.65353214374079,265.55555555555554
极度恐惧+闪崩,1w,fixed,300,25,0,10,3,1,2,0,0,1,33.33333333333333,100.0,249.99999999999997,83.33333333333333,83.3333333333333
极度恐惧+闪崩,1w,trailing,300,10,10,10,3,0,0,3,0,2,66.66666666666666,100.0,149.62306389481572,49.874354631605236,196.6666666666666
恐惧+Pin Bar,1w,fixed,100,25,0,5,3,1,2,0,0,1,33.33333333333333,66.66666666666666,49.99999999999994,16.666666666666647,16.66666666666666
恐惧+Pin Bar,1w,trailing,300,10,10,5,3,0,0,3,0,3,100.0,66.66666666666666,97.53346705538658,32.51115568512886,300.0
Pin Bar+上升趋势,1w,fixed,150,25,0,15,5,1,4,0,0,1,20.0,0.0,50.000000000000114,10.000000000000023,10.0
Pin Bar+上升趋势,1w,trailing,300,10,10,10,5,0,0,5,0,5,100.0,0.0,154.6300884157841,30.926017683156818,300.0
Pin Bar+RSI超卖,1w,fixed,100,25,0,5,2,1,1,0,0,1,50.0,50.0,74.99999999999999,37.49999999999999,37.5
Pin Bar+RSI超卖,1w,trailing,300,10,10,10,2,0,0,2,0,2,100.0,50.0,116.95510474671593,58.477552373357966,300.0
负资金费+RSI超卖,1w,fixed,300,15,0,15,8,1,7,0,0,1,12.5,75.0,195.0000000000001,24.375000000000014,24.375
负资金费+RSI超卖,1w,trailing,300,10,10,10,8,0,0,8,0,8,100.0,75.0,425.68664597231594,53.21083074653949,300.0
三重底部信号,1w,fixed,50,10,0,5,2,0,2,0,0,0,0.0,100.0,-20.000000000000075,-10.000000000000037,-10.0
三重底部信号,1w,trailing,300,10,10,5,2,0,0,2,0,2,100.0,100.0,11.645045364785592,5.822522682392796,300.0
EMA金叉+上升趋势,1d,fixed,300,40,0,10,27,8,17,0,2,10,37.03703703703704,62.96296296296296,2069.2857775289804,76.64021398255483,85.92592592592595
EMA金叉+上升趋势,1d,trailing,300,10,10,25,32,0,0,32,0,27,84.375,59.375,2382.733766516592,74.4604302036435,251.5625
EMA金叉+强趋势,1d,fixed,300,40,0,5,16,4,9,0,3,7,43.75,68.75,1226.387169488363,76.64919809302269,108.75
EMA金叉+强趋势,1d,trailing,300,10,10,25,24,0,0,24,0,19,79.16666666666666,58.333333333333336,1104.7464865042466,46.031103604343606,235.4166666666666
EMA金叉+MACD金叉,1d,fixed,300,40,0,10,27,9,17,0,1,10,37.03703703703704,55.55555555555556,2230.3717208548564,82.60636003166135,85.92592592592595
EMA金叉+MACD金叉,1d,trailing,300,10,10,20,30,0,0,30,0,26,86.66666666666667,56.666666666666664,1753.4392296967992,58.44797432322664,258.6666666666667
黄金交叉+趋势,1d,fixed,300,20,0,5,4,1,3,0,0,1,25.0,100.0,240.00000000000009,60.00000000000002,60.0
黄金交叉+趋势,1d,trailing,300,10,10,20,4,0,0,4,0,4,100.0,100.0,106.3107985121644,26.5776996280411,300.0
RSI超卖+恐惧,1d,fixed,300,40,0,5,21,2,17,0,2,4,19.047619047619047,47.61904761904761,218.9252021544105,10.4250096264005,24.76190476190476
RSI超卖+恐惧,1d,trailing,300,10,10,25,48,0,0,48,0,45,93.75,33.33333333333333,3610.7705451329907,75.2243863569373,280.625
RSI极度超卖+极度恐惧,1d,fixed,100,30,0,25,8,3,5,0,0,3,37.5,25.0,149.99999999999986,18.749999999999982,18.75
RSI极度超卖+极度恐惧,1d,trailing,300,10,10,5,8,0,0,8,0,7,87.5,25.0,96.2503972260609,12.031299653257612,261.25
RSI超卖+布林带下轨,1d,fixed,300,40,0,5,17,4,9,0,4,8,47.05882352941176,70.58823529411765,1523.4575251501956,89.6151485382468,119.99999999999997
RSI超卖+布林带下轨,1d,trailing,300,10,10,20,25,0,0,25,0,24,96.0,72.0,1940.3212284284311,77.61284913713725,287.6
RSI超卖+大跌,1d,fixed,300,30,0,25,19,3,16,0,0,3,15.789473684210526,47.368421052631575,420.0000000000009,22.105263157894786,22.105263157894733
RSI超卖+大跌,1d,trailing,300,10,10,15,20,0,0,20,0,20,100.0,45.0,1452.762393314298,72.6381196657149,300.0
恐惧+大跌,1d,fixed,300,40,0,5,21,2,17,0,2,3,14.285714285714285,57.14285714285714,-33.35886996132177,-1.5885176172057986,8.571428571428562
恐惧+大跌,1d,trailing,300,10,10,25,37,0,0,37,0,37,100.0,45.94594594594595,2885.2240410823433,77.97902813736063,300.0
极度恐惧+闪崩,1d,fixed,150,30,0,25,7,3,4,0,0,3,42.857142857142854,28.57142857142857,330.0000000000007,47.14285714285724,47.14285714285714
极度恐惧+闪崩,1d,trailing,300,10,10,10,8,0,0,8,0,8,100.0,37.5,432.39114292558514,54.04889286569814,300.0
恐惧+Pin Bar,1d,fixed,300,40,0,25,20,3,17,0,0,3,15.0,30.0,220.00000000000017,11.000000000000009,11.0
恐惧+Pin Bar,1d,trailing,300,10,10,20,20,0,0,20,0,19,95.0,30.0,880.9886732731887,44.049433663659435,284.5
恐惧+放量下跌,1d,fixed,75,25,0,5,3,1,2,0,0,1,33.33333333333333,66.66666666666666,24.999999999999964,8.333333333333321,8.333333333333325
恐惧+放量下跌,1d,trailing,300,10,10,15,3,0,0,3,0,3,100.0,66.66666666666666,279.77053739097215,93.25684579699072,300.0
Pin Bar+上升趋势,1d,fixed,300,40,0,5,18,3,11,0,4,7,38.88888888888889,72.22222222222221,923.6986935941108,51.31659408856171,92.22222222222224
Pin Bar+上升趋势,1d,trailing,300,10,10,25,51,0,0,51,0,44,86.27450980392157,64.70588235294117,2625.172637992065,51.47397329396206,257.45098039215685
Pin Bar+RSI超卖,1d,fixed,300,40,0,15,9,4,5,0,0,4,44.44444444444444,33.33333333333333,1000.0,111.11111111111111,111.11111111111109
Pin Bar+RSI超卖,1d,trailing,300,10,15,10,9,0,0,9,0,9,100.0,33.33333333333333,154.72446706168526,17.191607451298363,300.0
Pin Bar+放量,1d,fixed,300,10,0,5,3,0,2,0,1,1,33.33333333333333,33.33333333333333,133.65709547524114,44.552365158413714,93.3333333333333
Pin Bar+放量,1d,trailing,300,10,10,10,3,0,0,3,0,2,66.66666666666666,33.33333333333333,16.41092332340088,5.47030777446696,196.6666666666666
MACD金叉+RSI回升+趋势,1d,fixed,200,40,0,15,4,2,2,0,0,2,50.0,25.0,319.99999999999994,79.99999999999999,80.0
MACD金叉+RSI回升+趋势,1d,trailing,300,10,10,15,4,0,0,4,0,4,100.0,25.0,64.24234346161367,16.060585865403418,300.0
布林带下轨+RSI超卖+恐惧,1d,fixed,300,40,0,5,11,3,7,0,1,4,36.36363636363637,54.54545454545454,669.6789297258028,60.87990270234571,83.63636363636364
