strategy,timeframe,tp,sl,leverage,trades,tp_wins,sl_losses,timeouts,timeout_wins,total_wins,win_rate,ev
EMA金叉+上升趋势,1w,200,5,15,2,1,1,0,0,1,50.0,1462.5
EMA金叉+强趋势,1w,200,5,15,2,1,1,0,0,1,50.0,1462.5
RSI超卖+恐惧,1w,200,10,5,3,1,2,0,0,1,33.33333333333333,299.9999999999999
RSI极度超卖+极度恐惧,1w,20,10,5,2,1,1,0,0,1,50.0,25.0
RSI超卖+大跌,1w,200,5,15,6,1,5,0,0,1,16.666666666666664,437.49999999999994
恐惧+大跌,1w,200,7,10,15,1,14,0,0,1,6.666666666666667,68.00000000000001
极度恐惧+闪崩,1w,30,3,25,3,1,2,0,0,1,33.33333333333333,199.99999999999994
恐惧+Pin Bar,1w,20,5,15,3,1,2,0,0,1,33.33333333333333,49.999999999999964
Pin Bar+上升趋势,1w,20,2,5,5,0,5,0,0,0,0.0,-10.0
Pin Bar+RSI超卖,1w,100,15,5,2,1,1,0,0,1,50.0,212.5
负资金费+RSI超卖,1w,200,5,15,8,1,7,0,0,1,12.5,309.375
三重底部信号,1w,20,10,5,2,1,1,0,0,1,50.0,25.0
EMA金叉+上升趋势,1d,200,3,25,23,0,16,7,7,7,30.434782608695656,1469.5652173913045
EMA金叉+强趋势,1d,200,3,25,19,0,14,5,5,5,26.31578947368421,1260.5263157894735
EMA金叉+MACD金叉,1d,200,3,25,24,0,17,7,7,7,29.166666666666668,1405.2083333333335
黄金交叉+趋势,1d,200,5,15,4,0,3,1,1,1,25.0,693.75
RSI超卖+恐惧,1d,200,15,5,12,0,6,6,5,5,41.66666666666667,372.91666666666674
RSI极度超卖+极度恐惧,1d,20,2,5,6,0,6,0,0,0,0.0,-10.0
RSI超卖+布林带下轨,1d,200,3,25,20,0,16,4,4,4,20.0,940.0
RSI超卖+大跌,1d,200,3,25,17,0,15,2,2,2,11.76470588235294,522.0588235294117
恐惧+大跌,1d,200,15,5,15,0,9,6,5,5,33.33333333333333,283.33333333333326
极度恐惧+闪崩,1d,20,2,5,6,0,6,0,0,0,0.0,-10.0
恐惧+Pin Bar,1d,200,15,5,8,0,4,4,2,2,25.0,193.75
恐惧+放量下跌,1d,20,2,5,3,0,3,0,0,0,0.0,-10.0
Pin Bar+上升趋势,1d,200,3,25,22,1,16,5,5,6,27.27272727272727,1309.090909090909
Pin Bar+RSI超卖,1d,200,2,25,8,0,6,2,2,2,25.0,1212.5
Pin Bar+放量,1d,200,2,25,3,0,2,1,1,1,33.33333333333333,1633.3333333333333
MACD金叉+RSI回升+趋势,1d,200,3,25,4,0,3,1,1,1,25.0,1193.75
布林带下轨+RSI超卖+恐惧,1d,200,3,25,11,0,9,2,2,2,18.181818181818183,847.7272727272727
负资金费+RSI超卖,1d,200,3,25,20,0,15,5,5,5,25.0,1193.75
三重底部信号,1d,20,2,5,3,0,3,0,0,0,0.0,-10.0
完美抄底,1d,20,3,25,3,1,2,0,0,1,33.33333333333333,116.66666666666663
EMA金叉+上升趋势,4h,200,3,25,148,0,109,39,39,39,26.351351351351347,1262.3310810810808
EMA金叉+强趋势,4h,200,3,25,80,0,59,21,21,21,26.25,1257.1875
EMA金叉+MACD金叉,4h,200,3,25,166,0,128,38,37,37,22.289156626506024,1056.1746987951808
EMA金叉+放量,4h,200,3,25,40,0,24,16,16,16,40.0,1955.0
黄金交叉+趋势,4h,200,3,25,31,0,19,12,12,12,38.70967741935484,1889.516129032258
RSI超卖+恐惧,4h,200,7,10,61,0,36,25,24,24,39.34426229508197,744.4262295081967
RSI极度超卖+极度恐惧,4h,200,3,25,21,0,18,3,3,3,14.285714285714285,649.9999999999999
RSI超卖+布林带下轨,4h,200,3,25,168,0,132,36,35,35,20.833333333333336,982.2916666666667
RSI超卖+大跌,4h,200,15,5,8,0,4,4,3,3,37.5,328.125
恐惧+大跌,4h,200,3,25,27,0,24,3,3,3,11.11111111111111,488.8888888888889
极度恐惧+闪崩,4h,200,10,5,6,0,2,4,3,3,50.0,475.0
恐惧+Pin Bar,4h,200,3,25,65,0,51,14,14,14,21.53846153846154,1018.0769230769231
恐惧+放量下跌,4h,200,3,25,14,0,12,2,2,2,14.285714285714285,649.9999999999999
Pin Bar+上升趋势,4h,200,3,25,127,0,95,32,30,30,23.62204724409449,1123.8188976377953
Pin Bar+RSI超卖,4h,200,3,25,65,0,48,17,15,15,23.076923076923077,1096.1538461538462
Pin Bar+放量,4h,200,3,25,45,0,32,13,12,12,26.666666666666668,1278.3333333333335
MACD金叉+RSI回升+趋势,4h,200,3,25,44,0,32,12,12,12,27.27272727272727,1309.090909090909
EMA金叉+MACD金叉+放量,4h,200,3,25,34,0,19,15,15,15,44.11764705882353,2163.970588235294
布林带下轨+RSI超卖+恐惧,4h,200,5,15,46,0,33,13,13,13,28.26086956521739,794.0217391304348
负资金费+RSI超卖,4h,200,3,25,76,0,57,19,18,18,23.684210526315788,1126.9736842105262
三重底部信号,4h,200,15,5,3,0,2,1,1,1,33.33333333333333,283.33333333333326
完美抄底,4h,200,2,25,23,0,17,6,6,6,26.08695652173913,1267.391304347826
趋势+动量+成交量,4h,200,2,25,5,0,2,3,3,3,60.0,2980.0
EMA金叉+上升趋势,1h,200,3,25,480,0,261,219,179,179,37.291666666666664,1817.5520833333333
EMA金叉+强趋势,1h,200,3,25,257,0,132,125,97,97,37.7431906614786,1840.466926070039
EMA金叉+MACD金叉,1h,200,3,25,543,0,306,237,195,195,35.91160220994475,1747.5138121546963
EMA金叉+放量,1h,200,3,25,180,0,98,82,65,65,36.11111111111111,1757.6388888888887
黄金交叉+趋势,1h,200,3,25,151,0,70,81,65,65,43.04635761589404,2109.6026490066224
RSI超卖+恐惧,1h,200,3,25,199,0,138,61,55,55,27.63819095477387,1327.6381909547738
RSI极度超卖+极度恐惧,1h,200,5,15,29,0,19,10,8,8,27.586206896551722,773.2758620689655
RSI超卖+布林带下轨,1h,200,3,25,509,0,318,191,169,169,33.20235756385069,1610.0196463654227
RSI超卖+大跌,1h,200,10,5,3,0,2,1,1,1,33.33333333333333,299.9999999999999
恐惧+大跌,1h,200,3,25,14,0,11,3,3,3,21.428571428571427,1012.4999999999999
极度恐惧+闪崩,1h,200,15,5,4,0,2,2,2,2,50.0,462.5
恐惧+Pin Bar,1h,200,3,25,177,0,121,56,52,52,29.37853107344633,1415.9604519774011
恐惧+放量下跌,1h,200,5,15,21,0,10,11,10,10,47.61904761904761,1389.2857142857142
Pin Bar+上升趋势,1h,200,3,25,409,0,230,179,148,148,36.18581907090464,1761.4303178484108
Pin Bar+RSI超卖,1h,200,3,25,243,0,149,94,77,77,31.68724279835391,1533.1275720164608
Pin Bar+放量,1h,200,3,25,206,0,126,80,68,68,33.00970873786408,1600.242718446602
MACD金叉+RSI回升+趋势,1h,200,3,25,132,0,65,67,52,52,39.39393939393939,1924.242424242424
EMA金叉+MACD金叉+放量,1h,200,3,25,168,0,91,77,60,60,35.714285714285715,1737.5
布林带下轨+RSI超卖+恐惧,1h,200,3,25,114,0,79,35,32,32,28.07017543859649,1349.5614035087717
负资金费+RSI超卖,1h,200,3,25,147,0,80,67,64,64,43.53741496598639,2134.523809523809
三重底部信号,1h,20,2,5,5,0,5,0,0,0,0.0,-10.0
完美抄底,1h,200,3,25,61,0,38,23,22,22,36.0655737704918,1755.327868852459
趋势+动量+成交量,1h,200,3,25,34,0,17,17,15,15,44.11764705882353,2163.970588235294
