name,tf,dir,tp,sl,n,wr,avg_w,avg_l,ev,plr,total
4h_负费率+跌>5%+RSI<30,4h,long,100,20,3,66.7,100.0,20.0,60.0,5.0,180.0
4h_负费率+跌>5%+RSI<35,4h,long,100,20,3,66.7,100.0,20.0,60.0,5.0,180.0
1d_负费率+跌>3%+RSI<30,1d,long,100,20,5,60.0,100.0,20.0,52.0,5.0,260.0
4h_负费率+EMA7金叉,4h,long,80,20,9,66.7,69.7,20.0,39.79,3.48,358.1
4h_跌>5%+回踩EMA25,4h,long,50,20,6,83.3,46.4,20.0,35.37,2.32,212.2
4h_跌>5%+回踩EMA25,4h,long,100,20,6,83.3,45.0,20.0,34.2,2.25,205.2
4h_负费率+跌>3%+RSI<35,4h,long,50,20,11,72.7,50.0,20.0,30.91,2.5,340.0
4h_负费率+跌>5%+RSI<35,4h,long,50,20,3,66.7,50.0,20.0,26.67,2.5,80.0
4h_负费率+跌>5%+RSI<30,4h,long,50,20,3,66.7,50.0,20.0,26.67,2.5,80.0
4h_负费率+EMA7金叉,4h,long,50,20,9,66.7,50.0,20.0,26.67,2.5,240.0
4h_负费率+跌>3%+RSI<30,4h,long,50,20,9,66.7,50.0,20.0,26.67,2.5,240.0
4h_负费率+MACD金叉,4h,long,80,20,14,50.0,70.9,20.0,25.46,3.55,356.4
1d_FNG≤15+跌>5%+RSI<35,1d,long,50,20,11,63.6,50.0,20.0,24.55,2.5,270.0
1d_FNG≤15+跌>5%+RSI<30,1d,long,50,20,10,60.0,50.0,20.0,22.0,2.5,220.0
1d_负费率+跌>3%+RSI<30,1d,long,50,20,5,60.0,50.0,20.0,22.0,2.5,110.0
1d_FNG≤15+跌>3%+RSI<35,1d,long,50,20,16,56.2,50.0,20.0,19.38,2.5,310.0
1d_FNG≤15+跌>5%,1d,long,50,20,15,53.3,50.0,20.0,17.33,2.5,260.0
1d_跌>3%+RSI<30,1d,long,50,20,55,50.9,50.0,20.0,15.64,2.5,860.0
4h_负费率+MACD金叉,4h,long,50,20,14,50.0,50.0,20.0,15.0,2.5,210.0
1d_负费率+RSI<30,1d,long,50,20,12,50.0,50.0,20.0,15.0,2.5,180.0
1d_FNG≤20+跌>5%,1d,long,50,20,18,50.0,50.0,20.0,15.0,2.5,270.0
4h_跌>3%+回踩EMA25,4h,long,50,20,42,50.0,49.2,20.0,14.58,2.46,612.2
4h_强负费率,4h,long,50,15,11,45.5,50.0,15.0,14.55,3.33,160.0
1d_负费率,1d,long,50,15,33,45.5,50.0,15.0,14.55,3.33,480.0
1d_负费率,1d,long,50,20,33,45.5,50.0,20.0,11.82,2.5,390.0
1d_RSI<25,1d,long,50,20,66,45.5,50.0,20.0,11.82,2.5,780.0
4h_强负费率,4h,long,50,20,11,45.5,50.0,20.0,11.82,2.5,130.0
4h_强负费率,4h,long,30,10,12,50.0,30.0,10.0,10.0,3.0,120.0
1h_MACD金叉,1h,long,150,30,1308,46.9,28.1,21.0,1.99,1.34,2596.7
1h_站上EMA99,1h,long,150,30,1338,46.0,27.6,20.3,1.71,1.36,2290.6
1h_RSI<35,1h,long,150,30,1427,47.5,28.9,23.3,1.5,1.24,2133.8
1h_EMA7金叉,1h,long,150,30,905,46.5,26.2,20.6,1.16,1.27,1049.6
1h_RSI<30,1h,long,150,30,1119,46.4,29.5,23.7,0.98,1.25,1095.7
1h_连跌3,1h,long,150,30,1544,47.0,27.1,22.4,0.87,1.21,1347.9
1h_回踩EMA25,1h,long,150,30,2016,47.5,25.6,21.5,0.86,1.19,1739.1
1h_回踩EMA25,1h,long,100,25,2171,45.0,26.2,19.9,0.81,1.31,1764.2
1h_触BB下轨,1h,long,150,30,1113,49.2,26.7,24.4,0.8,1.1,889.3
1h_触BB下轨,1h,long,100,25,1187,45.7,26.7,22.0,0.28,1.21,329.6
